t,new.us
102,0.12392219480331126
103,0.12380198504862987
104,0.12395041007403276
105,0.12403913848163901
106,0.12406191029177123
107,0.12444894033967357
108,0.12470940992887374
109,0.12474388517927296
110,0.1250315720714199
111,0.12513672158513742
112,0.12534212149804203
113,0.12555768253738006
114,0.12559624038322117
115,0.12585326244738154
116,0.1257432138191336
117,0.125717266656991
118,0.12591622514153158
119,0.12623847800842075
120,0.12648170997242145
121,0.12676304616054737
122,0.12663612280447256
123,0.12670198867760363
124,0.12666533604296873
125,0.126596748439543
126,0.12690639062273357
127,0.126567081579331
128,0.1265307918420687
129,0.12691228770503865
130,0.1267014443315447
131,0.12695538176803758
132,0.1270524568152142
133,0.12711124618957914
134,0.12731455944259124
135,0.12745128102772693
136,0.12748457686166506
137,0.12756577514878947
138,0.12739884235738297
139,0.1276331833357543
140,0.12795298664537827
141,0.1282204420090014
142,0.12815439468718404
143,0.12824040136449563
144,0.1283492705762826
145,0.12836895775874743
146,0.12854024531862546
147,0.12792722093192202
148,0.12800832849470328
149,0.12771710335317327
150,0.12754853752359
151,0.12784203077369874
152,0.12792504354768625
153,0.12805160400638854
154,0.12854487226012637
155,0.12852591087240683
156,0.12869402308027442
157,0.12877023152852524
158,0.12875317535201197
159,0.1293411598200045
160,0.12937309478879527
161,0.12929761213528976
162,0.12907016620699824
163,0.1290924843954146
164,0.12963946146030061
165,0.1294192734794616
166,0.1296573341559023
167,0.1291687835680087
168,0.12937445565394273
169,0.1292457178110047
170,0.12943233778487612
171,0.1292674009290189
172,0.12922857091014825
173,0.12947552257221823
174,0.12937627014080588
175,0.12944640005806524
176,0.1295555414428817
177,0.1299362207867632
178,0.1302733524459299
179,0.13024323196400223
180,0.1300155138626812
181,0.13014098562926563
182,0.13012066337639877
183,0.1301557736972
184,0.13026999564523314
185,0.13025493540426933
186,0.13038340107417792
187,0.12991417477137626
188,0.130104514443317
189,0.13026255624909439
190,0.13042032588184221
191,0.13044727101175946
192,0.13056103933807686
193,0.13036471185948775
194,0.1303353171723053
195,0.13053645304108158
196,0.1305474306866034
197,0.1308010959500669
198,0.13083865582813342
199,0.13058925460879828
200,0.13025520757729872
201,0.1305600413703021
202,0.13070356728117455
203,0.13066201553200923
204,0.1311572797212964
205,0.1312421977064902
206,0.13108460952242867
207,0.13154376542313992
208,0.13152607417622464
209,0.13147953258818562
210,0.13188135070402254
211,0.13223644578313415
212,0.13215769705327504
213,0.13218963202206574
214,0.13224724197996962
215,0.13224488314704766
216,0.13196000870953856
217,0.13254853752358992
218,0.13246389171142559
219,0.13247368994048644
220,0.13240764261866905
221,0.132738514298158
222,0.13303082813180592
223,0.13298446799245328
224,0.13279449121788517
225,0.13253075555233143
226,0.13272672013354786
227,0.13278133618812754
228,0.13296351066918438
229,0.13289800769342586
230,0.132791497314561
231,0.13283223254463794
232,0.13302411453041238
233,0.13311347800842077
234,0.13361309696617957
235,0.1340120119030354
236,0.13397145812164477
237,0.1341792168674715
238,0.1340824139933242
239,0.13397327260850792
240,0.13407597256496032
241,0.1340981093046903
242,0.13394188198577597
243,0.1340244411380477
244,0.13410527652779952
245,0.13396302075773128
246,0.13407987371171592
247,0.1342190448541168
248,0.13412877413267682
249,0.13410001451589643
250,0.13429470895630863
251,0.13457559152271897
252,0.13442408186964888
253,0.1342904449121804
254,0.13456842429960958
