t,greedy,new,new greedy ver.,tabu
158,0.1392396393,0.1287531754,0.1531958557,0.1562655139
159,0.1395455618,0.1293411598,0.1534326462,0.1559387248
160,0.1394354224,0.1293730948,0.1538146865,0.1564689178
161,0.1390960226,0.1292976121,0.1535111228,0.1564248258
162,0.1390030302,0.1290701662,0.1534684824,0.1565408622
163,0.1389272754,0.1290924844,0.1541975432,0.1565509326
164,0.1390348744,0.1296394615,0.1541587132,0.1563437182
165,0.1394178219,0.1294192735,0.1541213347,0.1564031427
166,0.1390460335,0.1296573342,0.1544560168,0.1561952025
167,0.1394333358,0.1291687836,0.1544193642,0.1563819132
168,0.1394697162,0.1293744557,0.1546730295,0.1560206489
169,0.1397555886,0.1292457178,0.1544749782,0.1565359631
170,0.13941383,0.1294323378,0.1542356474,0.1563196763
171,0.139115982,0.1292674009,0.1540579184,0.1562241436
172,0.138956035,0.1292285709,0.1539237371,0.1556484976
173,0.1392408187,0.1294755226,0.1541753157,0.156193388
174,0.1393585789,0.1293762701,0.1541864748,0.1561316955
175,0.1395455618,0.1294464001,0.154415826,0.156432991
176,0.1393902417,0.1295555414,0.1544377812,0.1572504173
177,0.1395205218,0.1299362208,0.154755135,0.1564716396
178,0.1396393707,0.1302733524,0.1548157389,0.1565496625
179,0.1396478988,0.130243232,0.1546709428,0.1568133074
180,0.1397881587,0.1300155139,0.1554941755,0.1570770431
181,0.1399530048,0.1301409856,0.155559497,0.1566908296
182,0.1400817426,0.1301206634,0.1555488823,0.1565240782
183,0.1400946255,0.1301557737,0.1557228008,0.157033314
184,0.1401865292,0.1302699956,0.1560035927,0.1575704928
185,0.1398782479,0.1302549354,0.1562362099,0.1575734867
186,0.1397290064,0.1303834011,0.1558109849,0.1574294165
187,0.1398864131,0.1299141748,0.1560700029,0.1576738278
188,0.1399476521,0.1301045144,0.1562182465,0.1569856837
189,0.1397345406,0.1302625562,0.1561458485,0.1573262629
190,0.1397510524,0.1304203259,0.1560891457,0.1573644578
191,0.1398982073,0.130447271,0.1559560531,0.1571596023
192,0.1393611192,0.1305610393,0.1568605748,0.1574432973
193,0.1397701045,0.1303647119,0.1564486863,0.1570295036
194,0.139938126,0.1303353172,0.1568395268,0.1576879808
195,0.1396218609,0.130536453,0.1563571454,0.1582198069
196,0.1397379881,0.1305474307,0.1565774242,0.1575766621
197,0.1396462658,0.130801096,0.1568410691,0.1577398752
198,0.1400030846,0.1308386558,0.1570320438,0.1579620591
199,0.1399320475,0.1305892546,0.1572036943,0.1580809987
200,0.1397046923,0.1302552076,0.157104714,0.1576897046
201,0.1400224996,0.1305600414,0.1574166243,0.1583467303
202,0.1405536907,0.1307035673,0.157560876,0.1579081688
203,0.14014153,0.1306620155,0.1573141058,0.1577371534
204,0.1401968718,0.1311572797,0.1575312999,0.1575512593
205,0.1407423066,0.1312421977,0.1575540717,0.157877504
206,0.1405457069,0.1310846095,0.1577457722,0.1577285346
207,0.1402200065,0.1315437654,0.1575708557,0.1576858942
208,0.1404016367,0.1315260742,0.1580464327,0.1576632131
209,0.1403913848,0.1314795326,0.1578620809,0.1578173538
210,0.1404960807,0.1318813507,0.1574979133,0.1579316664
211,0.1403391276,0.1322364458,0.1575740311,0.1580097801
212,0.1404117071,0.1321576971,0.1577082124,0.1582025693
213,0.1404114349,0.132189632,0.1579008201,0.1582288794
214,0.1403944694,0.132247242,0.1580428037,0.1582847656
215,0.1401386268,0.1322448831,0.1572469698,0.1580666642
216,0.1402371534,0.1319600087,0.1576261068,0.1580094172
217,0.1403665263,0.1325485375,0.157341686,0.1583552584
218,0.140320892,0.1324638917,0.1578365873,0.1584421723
219,0.1406081253,0.1324736899,0.1580069676,0.1579050842
220,0.1404434606,0.1324076426,0.1580080563,0.1583138881
221,0.1405230258,0.1327385143,0.1581990311,0.1582638082
222,0.1401108651,0.1330308281,0.1585015967,0.158080908
223,0.1404930868,0.132984468,0.1587492742,0.1583470025
224,0.1408167913,0.1327944912,0.1588589599,0.1583569821
225,0.1407110067,0.1325307556,0.1587535382,0.1583809334
226,0.140845188,0.1327267201,0.1588828204,0.1586662614
227,0.1407454819,0.1327813362,0.1592860901,0.1586063834
228,0.1408643308,0.1329635107,0.1591183408,0.1587341232
229,0.1409118704,0.1328980077,0.1594504827,0.1586106474
230,0.1409494303,0.1327914973,0.1596555197,0.1587541733
231,0.1407070148,0.1328322325,0.1593704638,0.159083412
232,0.1409777362,0.1330241145,0.159755135,0.1588741109
233,0.1409797322,0.133113478,0.1601883437,0.1585373421
234,0.1411922086,0.133613097,0.1598620083,0.1587372986
235,0.1412159784,0.1340120119,0.1606584773,0.1586371389
236,0.1409426259,0.1339714581,0.1607039302,0.1587051822
237,0.1407516512,0.1341792169,0.1611204456,0.158587422
238,0.1408098055,0.134082414,0.1611798701,0.158670344
