t,new.greedy.us
254,0.1630922485121224
255,0.16371679489040664
256,0.1634849034693007
257,0.16430196690376125
258,0.16393680142255945
259,0.16424980040644666
260,0.16409947016983775
261,0.1637077224560911
262,0.16373249020177252
263,0.1640983814777197
264,0.16446880897082478
265,0.16430695674263482
266,0.16464617506169407
267,0.16510714544926852
268,0.1645100885469606
269,0.1649733270431138
270,0.16429489040499512
271,0.16462304035418956
272,0.16474415735230247
273,0.1651226593119482
274,0.16490183626070712
275,0.1646708520830325
276,0.1645471040789681
277,0.16467094280737568
278,0.1644728008419235
279,0.16487597982290775
280,0.1645204311220803
281,0.16481746262157226
282,0.1648198214544942
283,0.16505334591377724
284,0.16511866744084933
285,0.16456969444041397
286,0.16506922267382948
287,0.16523252649150982
288,0.16430033386558457
289,0.1644094752504009
