t,tabu.us
310,0.158483542604
311,0.158555214835
312,0.158369865002
313,0.157895558136
314,0.157748947597
315,0.158492705763
316,0.15849034693
317,0.158106673683
318,0.158504046306
319,0.158122550443
320,0.158302547539
321,0.15827142909
322,0.15969752504
323,0.15871761141
324,0.158156209174
325,0.15775003629
326,0.157951807229
327,0.157970677892
328,0.157807918421
329,0.157483760343
330,0.157930849906
331,0.157750489911
332,0.157694331543
333,0.157468337204
334,0.157261122804
335,0.157300406445
336,0.157859359123
337,0.157829329365
338,0.157840307011
339,0.157825972565
340,0.157972401655
341,0.157762465525
342,0.157795942807
343,0.158331125708
344,0.158520104514
345,0.158316428364
346,0.158364875163
347,0.158411507476
348,0.158985974017
349,0.158398352446
350,0.158623893163
351,0.158281590216
352,0.159171505298
353,0.158505770068
